Repository,Date,Stars
apache/airflow,2015-06-04,0
apache/airflow,2017-07-12,5190
apache/airflow,2018-06-12,7800
apache/airflow,2019-02-19,10410
apache/airflow,2019-09-09,13050
apache/airflow,2020-04-27,15660
apache/airflow,2020-11-13,18270
apache/airflow,2021-06-14,20910
apache/airflow,2022-01-16,23520
apache/airflow,2022-08-06,26130
apache/airflow,2023-03-15,28770
apache/airflow,2023-10-06,31380
apache/airflow,2024-04-19,33990
apache/airflow,2024-10-26,36630
apache/airflow,2025-03-21,39240
apache/airflow,2025-03-24,39290
PrefectHQ/prefect,2019-01-31,0
PrefectHQ/prefect,2020-06-16,2430
PrefectHQ/prefect,2020-08-13,3690
PrefectHQ/prefect,2020-11-01,4920
PrefectHQ/prefect,2021-07-23,6180
PrefectHQ/prefect,2021-12-06,7440
PrefectHQ/prefect,2022-05-24,8670
PrefectHQ/prefect,2022-10-29,9930
PrefectHQ/prefect,2023-03-27,11160
PrefectHQ/prefect,2023-09-16,12420
PrefectHQ/prefect,2024-02-09,13680
PrefectHQ/prefect,2024-06-07,14910
PrefectHQ/prefect,2024-10-30,16170
PrefectHQ/prefect,2024-11-23,17400
PrefectHQ/prefect,2025-03-21,18660
PrefectHQ/prefect,2025-03-24,18702
dagster-io/dagster,2018-06-22,0
dagster-io/dagster,2020-06-13,1650
dagster-io/dagster,2021-01-16,2490
dagster-io/dagster,2021-07-10,3360
dagster-io/dagster,2022-03-01,4200
dagster-io/dagster,2022-08-25,5070
dagster-io/dagster,2023-01-01,5910
dagster-io/dagster,2023-03-30,6780
dagster-io/dagster,2023-07-09,7620
dagster-io/dagster,2023-10-25,8490
dagster-io/dagster,2024-02-03,9330
dagster-io/dagster,2024-05-15,10200
dagster-io/dagster,2024-09-16,11040
dagster-io/dagster,2024-12-04,11910
dagster-io/dagster,2025-03-21,12750
dagster-io/dagster,2025-03-24,12784
spotify/luigi,2012-09-21,0
spotify/luigi,2015-05-21,2370
spotify/luigi,2016-01-15,3570
spotify/luigi,2016-08-31,4800
spotify/luigi,2017-03-09,6000
spotify/luigi,2017-09-19,7200
spotify/luigi,2018-04-13,8430
spotify/luigi,2018-10-13,9630
spotify/luigi,2019-05-02,10860
spotify/luigi,2019-12-17,12060
spotify/luigi,2020-09-29,13260
spotify/luigi,2021-09-05,14490
spotify/luigi,2022-09-29,15690
spotify/luigi,2024-02-02,16920
spotify/luigi,2025-03-02,18120
spotify/luigi,2025-03-24,18180
